ID,Name,Description,Manufacturer,Medicine Type,Unit,Category,Sub Category,Price,Purchase Price,MRP,Discount,Stock,Expiry Date,Batch Number,OTC,Prescription,Active,Created Date,Last Updated
"MED-17","CUTICAPILL STEM ADV SERUM 60ML","","ABBOTT LABS INDIA PVT. LTD.","","","Cardiovascular","ACE Inhibitors","0","1145.82","0","0","2","1/8/2027","1061729","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-59","REJUNEX CD3 1*10","","OTHER PRODUCTS","","","Skin Care","Eczema Relief","211.99","190","249.4","15","8","1/8/2027","1069439","No","No","Yes","11/12/2025, 6:25:24 pm","1/3/2026, 11:22:32 am"
"MED-60","VITAGREAT TAB 1*10","","OTHER PRODUCTS","","","Allergy Relief","Nasal Sprays1","104.3","93.5","122.7","15","10","1/3/2027","1069420","No","No","Yes","11/12/2025, 6:25:24 pm","27/2/2026, 1:59:34 pm"
"MED-69","S M FIBRO CAP 1*20","","OTHER PRODUCTS","","","Antibiotics","Cephalosporins","302.6","254.2","356","15","3","1/12/2026","1069078","No","No","Yes","11/12/2025, 6:25:24 pm","27/2/2026, 1:59:34 pm"
"MED-87","NATURALAX POWDER 100g","","OTHER PRODUCTS","","","Vitamins & Supplements","Vitamin D","165.75","146.24","195","15","2","1/7/2026","1068147","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-117","MAGMAXX 1*10","","ABBOTT LABS INDIA PVT. LTD.","","","Digestive Health","Laxatives","85","71.4","100","15","7","1/6/2027","1061681","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-133","ROCALTRAOL 0.5 1X10","","ABBOTT LABS INDIA PVT. LTD.","","","Cold & Flu","Cough Suppressants","478.13","428.6","562.5","15","0","","1061648","No","No","Yes","11/12/2025, 6:25:24 pm","1/3/2026, 3:55:31 pm"
"MED-156","ACIVIR 400 DT 1*10","","OTHER PRODUCTS","","","Children's Medicine","wewerwer","124.1","111.2","146","15","0","1/5/2027","1061602","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-165","ORS LIVEASY","","OTHER PRODUCTS","","","Diabetes Care","Long-Acting Insulin","18.55","10","21.82","15","0","1/4/2028","1061583","No","No","Yes","11/12/2025, 6:25:24 pm","1/3/2026, 10:03:50 am"
"MED-172","T WRIST SPLINT AMBIDEXIT XL 1*1","","OTHER PRODUCTS","","","Diabetes Care","Long-Acting Insulin","531.25","298.1","625","15","1","","1061567","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-176","T CERVICAL COLLAR S 1*1","","OTHER PRODUCTS","","","Children's Medicine","Antifungal","362.1","426","426","15","3","","1061559","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-199","CREPE BANDAGE 4: ACCUSURE 1X1","","OTHER PRODUCTS","","","Mental Health","Anxiety & Panic Care","314.5","1.91","370","15","0","","1061512","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-227","FOGG POKET RED CHARM 25ML","","OTHER PRODUCTS","","","Cold & Flu","Fever Reducers","72.25","50.85","85","15","0","1/9/2026","1061452","No","No","Yes","11/12/2025, 6:25:24 pm","19/2/2026, 4:08:15 pm"
"MED-238","TOFASHINE XR 11 1X15","","OTHER PRODUCTS","","","Children's Medicine","Antifungal","807.46","678.6","949.95","15","4","1/5/2027","1061429","No","No","Yes","11/12/2025, 6:25:24 pm","27/2/2026, 1:59:34 pm"
"MED-11","ULYSES SR 450 1*10","","ABBOTT LABS INDIA PVT. LTD.","","","Diabetes Care","Oral Hypoglycemics","472.18","423.2","555.5","15","4","1/9/2027","1061741","No","No","Yes","11/12/2025, 6:25:24 pm","27/2/2026, 1:59:34 pm"
